dataset,field,presence_count,example_type,possible_semantic_role
NLI,metadados_extraidos.envolvidos[].opinioes[].verificacao_alucinacao.prompt_1_gpt-4o-2024-08-06,206,dict,LLM hallucination check; not documentary proof
NLI,metadados_extraidos.envolvidos[].opinioes[].verificacao_alucinacao.prompt_1_gpt-4o-2024-08-06.alucinacao,206,bool,LLM hallucination check; not documentary proof
NLI,metadados_extraidos.envolvidos[].opinioes[].verificacao_alucinacao.prompt_1_gpt-4o-2024-08-06.explicacao,206,str,LLM hallucination check; not documentary proof
NLI,metadados_extraidos.envolvidos[].opinioes[].verificacao_alucinacao.prompt_1_gpt-4o-mini-2024-07-18,206,dict,LLM hallucination check; not documentary proof
NLI,metadados_extraidos.envolvidos[].opinioes[].verificacao_alucinacao.prompt_1_gpt-4o-mini-2024-07-18.alucinacao,206,bool,LLM hallucination check; not documentary proof
NLI,metadados_extraidos.envolvidos[].opinioes[].verificacao_alucinacao.prompt_1_gpt-4o-mini-2024-07-18.explicacao,206,str,LLM hallucination check; not documentary proof
NLI,metadados_extraidos.envolvidos[].opinioes[].verificacao_alucinacao.prompt_1_sabia-3.1-2025-05-08,206,dict,LLM hallucination check; not documentary proof
NLI,metadados_extraidos.envolvidos[].opinioes[].verificacao_alucinacao.prompt_1_sabia-3.1-2025-05-08.alucinacao,206,bool,LLM hallucination check; not documentary proof
NLI,metadados_extraidos.envolvidos[].opinioes[].verificacao_alucinacao.prompt_1_sabia-3.1-2025-05-08.explicacao,206,str,LLM hallucination check; not documentary proof
NLI,metadados_extraidos.envolvidos[].opinioes[].verificacao_alucinacao.prompt_2_deepseek-chat,206,dict,LLM hallucination check; not documentary proof
NLI,metadados_extraidos.envolvidos[].opinioes[].verificacao_alucinacao.prompt_2_deepseek-chat.alucinacao,206,bool,LLM hallucination check; not documentary proof
NLI,metadados_extraidos.envolvidos[].opinioes[].verificacao_alucinacao.prompt_2_deepseek-chat.explicacao,206,str,LLM hallucination check; not documentary proof
NLI,metadados_extraidos.envolvidos[].opinioes[].verificacao_alucinacao.prompt_2_deepseek-chat.trechos_para_basear_analise,206,list,LLM hallucination check; not documentary proof
NLI,metadados_extraidos.envolvidos[].opinioes[].verificacao_alucinacao.prompt_2_deepseek-chat.trechos_para_basear_analise[],205,str,LLM hallucination check; not documentary proof
NLI,metadados_extraidos.envolvidos[].opinioes[].verificacao_alucinacao.prompt_2_gpt-4o-2024-08-06,206,dict,LLM hallucination check; not documentary proof
NLI,metadados_extraidos.envolvidos[].opinioes[].verificacao_alucinacao.prompt_2_gpt-4o-2024-08-06.alucinacao,206,bool,LLM hallucination check; not documentary proof
NLI,metadados_extraidos.envolvidos[].opinioes[].verificacao_alucinacao.prompt_2_gpt-4o-2024-08-06.explicacao,206,str,LLM hallucination check; not documentary proof
NLI,metadados_extraidos.envolvidos[].opinioes[].verificacao_alucinacao.prompt_2_gpt-4o-2024-08-06.trechos_para_basear_analise,206,list,LLM hallucination check; not documentary proof
NLI,metadados_extraidos.envolvidos[].opinioes[].verificacao_alucinacao.prompt_2_gpt-4o-2024-08-06.trechos_para_basear_analise[],205,str,LLM hallucination check; not documentary proof
NLI,metadados_extraidos.envolvidos[].opinioes[].verificacao_alucinacao.prompt_2_gpt-4o-mini-2024-07-18,206,dict,LLM hallucination check; not documentary proof
NLI,metadados_extraidos.envolvidos[].opinioes[].verificacao_alucinacao.prompt_2_gpt-4o-mini-2024-07-18.alucinacao,206,bool,LLM hallucination check; not documentary proof
NLI,metadados_extraidos.envolvidos[].opinioes[].verificacao_alucinacao.prompt_2_gpt-4o-mini-2024-07-18.explicacao,206,str,LLM hallucination check; not documentary proof
NLI,metadados_extraidos.envolvidos[].opinioes[].verificacao_alucinacao.prompt_2_gpt-4o-mini-2024-07-18.trechos_para_basear_analise,206,list,LLM hallucination check; not documentary proof
NLI,metadados_extraidos.envolvidos[].opinioes[].verificacao_alucinacao.prompt_2_gpt-4o-mini-2024-07-18.trechos_para_basear_analise[],205,str,LLM hallucination check; not documentary proof
NLI,metadados_extraidos.envolvidos[].opinioes[].verificacao_alucinacao.prompt_2_sabia-3.1-2025-05-08,206,dict,LLM hallucination check; not documentary proof
NLI,metadados_extraidos.envolvidos[].opinioes[].verificacao_alucinacao.prompt_2_sabia-3.1-2025-05-08.alucinacao,206,bool,LLM hallucination check; not documentary proof
NLI,metadados_extraidos.envolvidos[].opinioes[].verificacao_alucinacao.prompt_2_sabia-3.1-2025-05-08.explicacao,206,str,LLM hallucination check; not documentary proof
NLI,metadados_extraidos.envolvidos[].opinioes[].verificacao_alucinacao.prompt_2_sabia-3.1-2025-05-08.trechos_para_basear_analise,206,list,LLM hallucination check; not documentary proof
NLI,metadados_extraidos.envolvidos[].opinioes[].verificacao_alucinacao.prompt_2_sabia-3.1-2025-05-08.trechos_para_basear_analise[],206,str,LLM hallucination check; not documentary proof
NLI,metadados_extraidos.envolvidos[].opinioes[].verificacao_alucinacao.prompt_3_deepseek-chat,206,dict,LLM hallucination check; not documentary proof
NLI,metadados_extraidos.envolvidos[].opinioes[].verificacao_alucinacao.prompt_3_deepseek-chat.alucinacao,206,bool,LLM hallucination check; not documentary proof
NLI,metadados_extraidos.envolvidos[].opinioes[].verificacao_alucinacao.prompt_3_deepseek-chat.explicacao,206,str,LLM hallucination check; not documentary proof
NLI,metadados_extraidos.envolvidos[].opinioes[].verificacao_alucinacao.prompt_3_deepseek-chat.trechos_para_basear_analise,206,list,LLM hallucination check; not documentary proof
NLI,metadados_extraidos.envolvidos[].opinioes[].verificacao_alucinacao.prompt_3_deepseek-chat.trechos_para_basear_analise[],205,str,LLM hallucination check; not documentary proof
NLI,metadados_extraidos.envolvidos[].opinioes[].verificacao_alucinacao.prompt_3_gpt-4o-2024-08-06,206,dict,LLM hallucination check; not documentary proof
NLI,metadados_extraidos.envolvidos[].opinioes[].verificacao_alucinacao.prompt_3_gpt-4o-2024-08-06.alucinacao,206,bool,LLM hallucination check; not documentary proof
NLI,metadados_extraidos.envolvidos[].opinioes[].verificacao_alucinacao.prompt_3_gpt-4o-2024-08-06.explicacao,206,str,LLM hallucination check; not documentary proof
NLI,metadados_extraidos.envolvidos[].opinioes[].verificacao_alucinacao.prompt_3_gpt-4o-2024-08-06.trechos_para_basear_analise,206,list,LLM hallucination check; not documentary proof
NLI,metadados_extraidos.envolvidos[].opinioes[].verificacao_alucinacao.prompt_3_gpt-4o-2024-08-06.trechos_para_basear_analise[],205,str,LLM hallucination check; not documentary proof
NLI,metadados_extraidos.envolvidos[].opinioes[].verificacao_alucinacao.prompt_3_gpt-4o-mini-2024-07-18,206,dict,LLM hallucination check; not documentary proof
NLI,metadados_extraidos.envolvidos[].opinioes[].verificacao_alucinacao.prompt_3_gpt-4o-mini-2024-07-18.alucinacao,206,bool,LLM hallucination check; not documentary proof
NLI,metadados_extraidos.envolvidos[].opinioes[].verificacao_alucinacao.prompt_3_gpt-4o-mini-2024-07-18.explicacao,206,str,LLM hallucination check; not documentary proof
NLI,metadados_extraidos.envolvidos[].opinioes[].verificacao_alucinacao.prompt_3_gpt-4o-mini-2024-07-18.trechos_para_basear_analise,206,list,LLM hallucination check; not documentary proof
NLI,metadados_extraidos.envolvidos[].opinioes[].verificacao_alucinacao.prompt_3_gpt-4o-mini-2024-07-18.trechos_para_basear_analise[],205,str,LLM hallucination check; not documentary proof
NLI,metadados_extraidos.envolvidos[].opinioes[].verificacao_alucinacao.prompt_3_sabia-3.1-2025-05-08,206,dict,LLM hallucination check; not documentary proof
NLI,metadados_extraidos.envolvidos[].opinioes[].verificacao_alucinacao.prompt_3_sabia-3.1-2025-05-08.alucinacao,206,bool,LLM hallucination check; not documentary proof
NLI,metadados_extraidos.envolvidos[].opinioes[].verificacao_alucinacao.prompt_3_sabia-3.1-2025-05-08.explicacao,206,str,LLM hallucination check; not documentary proof
NLI,metadados_extraidos.envolvidos[].opinioes[].verificacao_alucinacao.prompt_3_sabia-3.1-2025-05-08.trechos_para_basear_analise,206,list,LLM hallucination check; not documentary proof
NLI,metadados_extraidos.envolvidos[].opinioes[].verificacao_alucinacao.prompt_3_sabia-3.1-2025-05-08.trechos_para_basear_analise[],205,str,LLM hallucination check; not documentary proof
NLI,metadados_extraidos.envolvidos[].opinioes[].verificacao_alucinacao.verificacao_manual,206,bool,LLM hallucination check; not documentary proof
NLI,metadados_extraidos.tl_dr,206,str,container/auxiliary metadata
