pair_id,model,relation_gold,baseline_a_relation,structured_without_gate_relation,structured_with_gate_relation,stance_determinable_a,stance_determinable_b,target_proposition_a,target_proposition_b,same_proposition,stance_a,stance_b,A_correct,B_correct,C_correct,gate_effect,malformed_output
af4d70f0c140e9c9,Qwen/Qwen2.5-72B-Instruct,INCOMPARABLE,INCOMPARABLE,STANCE_MAINTAINED,INCOMPARABLE,YES,YES,É necessário mudar o Código Penal e fazer um trabalho conjunto para combater a violência nas escolas.,É necessário direcionar recursos orçamentários para prevenção e combate à violência contra crianças e adolescentes.,NO,FAVOR,FAVOR,True,False,True,ERROR_TO_CORRECT,False
d3769de977ace19d,Qwen/Qwen2.5-72B-Instruct,STANCE_MAINTAINED,STANCE_MAINTAINED,STANCE_MAINTAINED,STANCE_MAINTAINED,YES,YES,Criar fontes de recursos específicas para a prevenção de desastres naturais,Criar fontes de recursos específicas para a prevenção de desastres naturais,YES,FAVOR,FAVOR,True,True,True,CORRECT_TO_CORRECT,False
d4c07b40fb424a0c,Qwen/Qwen2.5-72B-Instruct,STANCE_MAINTAINED,STANCE_MAINTAINED,STANCE_MAINTAINED,STANCE_MAINTAINED,YES,YES,Vacinação obrigatória contra a COVID-19 em crianças de 6 meses a 5 anos,Vacinação obrigatória contra a COVID-19 em crianças de 6 meses a 5 anos,YES,AGAINST,AGAINST,True,True,True,CORRECT_TO_CORRECT,False
d4e87de87b4f3431,Qwen/Qwen2.5-72B-Instruct,INCOMPARABLE,INCOMPARABLE,STANCE_MAINTAINED,INCOMPARABLE,YES,YES,A contratação da empresa Global X para fornecimento de insulina rápida é questionável devido a irregularidades.,"O Ministério deve ser mais criterioso na verificação e aprovação de despesas, especialmente com pessoas com histórico criminal.",NO,AGAINST,AGAINST,True,False,True,ERROR_TO_CORRECT,False
de54c782d361768c,Qwen/Qwen2.5-72B-Instruct,INCOMPARABLE,INCOMPARABLE,STANCE_MAINTAINED,INCOMPARABLE,YES,YES,Políticas públicas de proteção e independência econômica para mulheres vítimas de violência,Criação de políticas públicas para a saúde da mulher no climatério e menopausa,NO,FAVOR,FAVOR,True,False,True,ERROR_TO_CORRECT,False
e001ebac1d8033f1,Qwen/Qwen2.5-72B-Instruct,STANCE_MAINTAINED,STANCE_MAINTAINED,STANCE_MAINTAINED,STANCE_MAINTAINED,YES,YES,"Criar um arcabouço legal que inclua um sistema nacional de apoio a vítimas de desastres, incluindo recuperação econômica e auxílio emergencial.",Criar um arcabouço legal que inclua a participação do Ministério do Desenvolvimento Social para proteger os cidadãos mais vulneráveis em desastres naturais.,YES,FAVOR,FAVOR,True,True,True,CORRECT_TO_CORRECT,False
e6a308550846aa5f,Qwen/Qwen2.5-72B-Instruct,INCOMPARABLE,INCOMPARABLE,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,NO,YES,,"Critérios para avançar no uso de biometano incluem disponibilidade, densidade energética, maturidade tecnológica, segurança, custo e sustentabilidade local",NO,UNCERTAIN,FAVOR,True,False,False,ERROR_TO_ERROR,False
ebcdef50abd4418f,Qwen/Qwen2.5-72B-Instruct,INCOMPARABLE,INCOMPARABLE,STANCE_MAINTAINED,INCOMPARABLE,YES,YES,"Políticas públicas e planos multifacetados são necessários para proteger mulheres e crianças indígenas, incluindo a demarcação e proteção de territórios indígenas.",Planos e Conselhos são importantes para assegurar a intersetorialidade e participação da sociedade civil na implementação de políticas públicas para a população LGBTQIA+.,NO,FAVOR,FAVOR,True,False,True,ERROR_TO_CORRECT,False
0138e27cd0f53d95,meta-llama/Llama-3.3-70B-Instruct-Turbo,INCOMPARABLE,INCOMPARABLE,STANCE_MAINTAINED,INCOMPARABLE,YES,YES,Aprovação da Convenção Interamericana sobre a Proteção dos Direitos Humanos dos Idosos,Consolidação de políticas públicas para idosos no contexto dos 20 anos do Estatuto do Idoso,NO,FAVOR,FAVOR,True,False,True,ERROR_TO_CORRECT,False
24c599750bdd544f,meta-llama/Llama-3.3-70B-Instruct-Turbo,STANCE_MAINTAINED,STANCE_MAINTAINED,STANCE_MAINTAINED,STANCE_MAINTAINED,YES,YES,Regulamentação dos mercados digitais no Brasil,Regulamentação dos mercados digitais,YES,FAVOR,FAVOR,True,True,True,CORRECT_TO_CORRECT,False
263f772b51bf1354,meta-llama/Llama-3.3-70B-Instruct-Turbo,RELATION_UNCERTAIN,STANCE_MAINTAINED,STANCE_MAINTAINED,INCOMPARABLE,YES,YES,O Estado deve priorizar políticas para o envelhecimento saudável da população,O G20 deve incluir a agenda do envelhecimento saudável em suas discussões,NO,FAVOR,FAVOR,False,False,False,ERROR_TO_ERROR,False
2a22c99d1d3a678c,meta-llama/Llama-3.3-70B-Instruct-Turbo,INCOMPARABLE,INCOMPARABLE,STANCE_MAINTAINED,INCOMPARABLE,YES,YES,O atendimento primário deve resolver o problema da retinopatia diabética,"O SUS deve revisar e atualizar seus protocolos clínicos para incluir diretrizes claras e abrangentes para o diagnóstico, tratamento e acompanhamento do edema macular",NO,FAVOR,FAVOR,True,False,True,ERROR_TO_CORRECT,False
2e42e8583aea6939,meta-llama/Llama-3.3-70B-Instruct-Turbo,INCOMPARABLE,STANCE_MAINTAINED,STANCE_MAINTAINED,INCOMPARABLE,YES,YES,Aumento do orçamento para combater a tuberculose no Brasil,Erradicação da tuberculose no Amazonas como projeto-piloto,NO,FAVOR,FAVOR,False,False,True,ERROR_TO_CORRECT,False
3459768d16f576e5,meta-llama/Llama-3.3-70B-Instruct-Turbo,STANCE_MAINTAINED,STANCE_MAINTAINED,STANCE_MAINTAINED,INCOMPARABLE,YES,YES,O saque-aniversário do FGTS não deve ser substituído,O saque-aniversário do FGTS não deve ser substituído por um empréstimo consignado sem opções para o trabalhador,NO,FAVOR,FAVOR,True,True,False,CORRECT_TO_ERROR,False
36e4b11ff6345a11,meta-llama/Llama-3.3-70B-Instruct-Turbo,INCOMPARABLE,INCOMPARABLE,STANCE_MAINTAINED,INCOMPARABLE,YES,YES,Reconstrução do Sistema Único de Saúde,Reconstrução dos direitos humanos e sociais,NO,FAVOR,FAVOR,True,False,True,ERROR_TO_CORRECT,False
36fb1e1240a12ac4,meta-llama/Llama-3.3-70B-Instruct-Turbo,INCOMPARABLE,INCOMPARABLE,STANCE_MAINTAINED,INCOMPARABLE,YES,YES,Legislação específica para o sistema prisional carcerário para questões indígenas,Aprovação do Projeto de Lei 4347/21 para tornar permanente a Política Nacional de Gestão Territorial e Ambiental das Terras Indígenas,NO,FAVOR,FAVOR,True,False,True,ERROR_TO_CORRECT,False
4cffd4e8a3906c01,meta-llama/Llama-3.3-70B-Instruct-Turbo,INCOMPARABLE,INCOMPARABLE,STANCE_REVERSED,INCOMPARABLE,YES,YES,O Supremo Tribunal Federal não deve legislar ou modificar leis existentes,As concessionárias de energia elétrica devem cumprir a lei e ser fiscalizadas de forma mais firme,NO,AGAINST,FAVOR,True,False,True,ERROR_TO_CORRECT,False
8f79764e69daadf2,meta-llama/Llama-3.3-70B-Instruct-Turbo,RELATION_UNCERTAIN,INCOMPARABLE,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,NO,YES,,Políticas públicas devem priorizar o envelhecimento saudável,NO,UNCERTAIN,FAVOR,False,False,False,ERROR_TO_ERROR,False
af4d70f0c140e9c9,meta-llama/Llama-3.3-70B-Instruct-Turbo,INCOMPARABLE,INCOMPARABLE,STANCE_MAINTAINED,INCOMPARABLE,YES,YES,Deve haver proteção das redes sociais e controle da disseminação de ódio,Deve haver alocação de recursos para proteger a infância e adolescência,NO,FAVOR,FAVOR,True,False,True,ERROR_TO_CORRECT,False
d3769de977ace19d,meta-llama/Llama-3.3-70B-Instruct-Turbo,STANCE_MAINTAINED,STANCE_MAINTAINED,STANCE_MAINTAINED,STANCE_MAINTAINED,YES,YES,País deve ter recursos financeiros para prevenção de desastres,País deve ter recursos financeiros para prevenção de desastres,YES,FAVOR,FAVOR,True,True,True,CORRECT_TO_CORRECT,False
d4c07b40fb424a0c,meta-llama/Llama-3.3-70B-Instruct-Turbo,STANCE_MAINTAINED,STANCE_MAINTAINED,STANCE_MAINTAINED,STANCE_MAINTAINED,YES,YES,A vacinação contra Covid-19 em crianças de 6 meses a 5 anos deve ser obrigatória,A vacinação contra Covid-19 em crianças deve ser obrigatória,YES,AGAINST,AGAINST,True,True,True,CORRECT_TO_CORRECT,False
d4e87de87b4f3431,meta-llama/Llama-3.3-70B-Instruct-Turbo,INCOMPARABLE,INCOMPARABLE,STANCE_MAINTAINED,INCOMPARABLE,YES,YES,O Ministério da Saúde deve avaliar critérios de contratação de empresas para compra de medicamentos,O Ministério deve ter transparência e critérios claros para o pagamento de diárias e passagens,NO,AGAINST,AGAINST,True,False,True,ERROR_TO_CORRECT,False
de54c782d361768c,meta-llama/Llama-3.3-70B-Instruct-Turbo,INCOMPARABLE,INCOMPARABLE,STANCE_MAINTAINED,INCOMPARABLE,YES,YES,Aumento da proteção às mulheres vítimas de violência,Implementação de políticas públicas efetivas para a saúde da mulher no climatério e menopausa,NO,FAVOR,FAVOR,True,False,True,ERROR_TO_CORRECT,False
e001ebac1d8033f1,meta-llama/Llama-3.3-70B-Instruct-Turbo,STANCE_MAINTAINED,STANCE_MAINTAINED,STANCE_MAINTAINED,INCOMPARABLE,YES,YES,Criação de um sistema nacional de apoio a vítimas de desastres,Criação de um arcabouço legal para proteger cidadãos vulneráveis em desastres,NO,FAVOR,FAVOR,True,True,False,CORRECT_TO_ERROR,False
e6a308550846aa5f,meta-llama/Llama-3.3-70B-Instruct-Turbo,INCOMPARABLE,INCOMPARABLE,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,NO,YES,,O biometano deve ser incentivado como combustível na matriz energética brasileira,NO,UNCERTAIN,FAVOR,True,False,False,ERROR_TO_ERROR,False
ebcdef50abd4418f,meta-llama/Llama-3.3-70B-Instruct-Turbo,INCOMPARABLE,INCOMPARABLE,STANCE_MAINTAINED,INCOMPARABLE,YES,YES,Proteção aos povos indígenas e suas terras,Implementação de políticas públicas para a população LGBTQIA+,NO,FAVOR,FAVOR,True,False,True,ERROR_TO_CORRECT,False
