pair_id,side,source_record_id,selected_candidate_rank,evidence_start,evidence_end,reviewed_evidence_text,summary_support_reviewed,review_note,reviewer
d4c07b40fb424a0c,a,15,1,151818,151951,"Existe uma elite globalista que quer, sim, forçar essa vacinação, inclusive em bebês, e o Brasil está sendo pioneiro nessa obrigação.",true,Central LDS manifestation checked against the quoted text in an explicitly named speaker turn.,Codex documentary review
d4c07b40fb424a0c,b,129,2,61835,61922,"Nós estamos questionando muito claramente essa terapia gênica, e não as demais vacinas.",true,Central LDS manifestation checked against the quoted text in an explicitly named speaker turn.,Codex documentary review
0138e27cd0f53d95,a,41,1,743,840,"Constrange-nos, há tanto tempo, ter isso na pauta, para aprovação, e ainda não termos conseguido.",true,Central LDS manifestation checked against the quoted text in an explicitly named speaker turn.,Codex documentary review
0138e27cd0f53d95,b,155,1,1477,1614,"O Brasil avançou consideravelmente na proteção das pessoas mais velhas, mas há, ainda, parte de determinações legais que não é obedecida.",true,Central LDS manifestation checked against the quoted text in an explicitly named speaker turn.,Codex documentary review
2e42e8583aea6939,a,123,1,6738,6869,"Não se pode imaginar que nós vamos ter que erradicar essa doença, que tem 80 mil casos novos por ano no Brasil, que mata mais de 4.",true,Central LDS manifestation checked against the quoted text in an explicitly named speaker turn.,Codex documentary review
2e42e8583aea6939,b,114,manual_range,8289,8475,"no Amazonas hoje são 6 mil casos novos por ano, confere? Portanto, se eu reduzisse isso, eu teria que reduzir 2 mil casos novos por ano. Então, o impacto de você fechar o programa piloto",true,Central LDS manifestation checked against the quoted text in an explicitly named speaker turn.,Codex documentary review
3459768d16f576e5,a,3,1,35792,35955,"Eu diria, conversando com os trabalhadores do meu País, que seria cruel e até maligno o fim do Saque-Aniversário, que é como se fosse o 14º salário do trabalhador.",true,Central LDS manifestation checked against the quoted text in an explicitly named speaker turn.,Codex documentary review
3459768d16f576e5,b,10,3,137571,137699,"Acho que precisamos aprimorar o saque-aniversário, mas acabar neste momento seria uma solução muito cruel para os trabalhadores.",true,Central LDS manifestation checked against the quoted text in an explicitly named speaker turn.,Codex documentary review
1f862b43757396e1,a,80,2,77920,77977,Temos como harmonizar esses projetos que estão em debate.,unknown,"The harmonisation claim is spoken, but the specific PL 1202/07 number in the LDS summary is not spoken in this turn; support remains unknown.",Codex documentary review
1f862b43757396e1,b,87,1,221715,221951,"Vamos tentar construir um relatório harmonioso, para que avancemos com essa matéria e consigamos, até o meio deste ano, antes do recesso, oferecer ao Brasil uma legislação que seja justa, que atenda a uma necessidade real na nossa vida.",true,Central LDS manifestation checked against the quoted text in an explicitly named speaker turn.,Codex documentary review
16c67be32f60e074,a,91,1,136842,136912,Entendo e vejo em todos a preocupação em busca da solução do problema.,unknown,Only a general request for a solution is located; the detailed LDS paraphrase is not fully supported by this span.,Codex documentary review
16c67be32f60e074,b,104,1,118243,118337,Um deles é que o modelo atual das concessionárias de energia no Brasil precisa ser modificado.,true,Central LDS manifestation checked against the quoted text in an explicitly named speaker turn.,Codex documentary review
2a22c99d1d3a678c,a,68,3,23425,23576,"Eu estou vendo aqui — estou estudando esse tema — que o problema maior é a fila de espera, o que faz com que esses pacientes não tenham acompanhamento.",true,Central LDS manifestation checked against the quoted text in an explicitly named speaker turn.,Codex documentary review
2a22c99d1d3a678c,b,105,1,3674,3855,"É fundamental que o SUS revise e atualize seus protocolos clínicos para incluir diretrizes claras e abrangentes para o diagnóstico, o tratamento e o acompanhamento do edema macular.",true,Central LDS manifestation checked against the quoted text in an explicitly named speaker turn.,Codex documentary review
56076bd074c74d1a,a,166,2,96226,96369,"Eu acredito que nós estamos diante de outra grande possibilidade de inovação, a das redes de registros distribuídos, assim como a dablockchain.",unknown,"Blockchain opportunity is spoken, but public-sector research/application in the LDS summary is not established by this span.",Codex documentary review
56076bd074c74d1a,b,138,2,2210,2491,"Então, essa é uma questão na qual precisamos avançar, para a qual precisamos ter o apoio deste Parlamento, a fim de que a ANPD possa desenvolver esse trabalho com cada vez mais eficiência, com o objetivo de proteger o cidadão brasileiro dessas investidas, assim como os seus dados.",true,Central LDS manifestation checked against the quoted text in an explicitly named speaker turn.,Codex documentary review
ebcdef50abd4418f,a,89,4,41315,41499,"Inclusive as mulheres, com as Marchas das Mulheres Indígenas, trazem a defesa do próprio território, porque o território é protegido, as vidas são protegidas, a existência é protegida.",true,Central LDS manifestation checked against the quoted text in an explicitly named speaker turn.,Codex documentary review
ebcdef50abd4418f,b,85,1,29718,30197,"Penso que a existência de Conselho e de planos é muito importante, como pontua a pesquisa, porque os planos possibilitam a intersetorialidade e, ao mesmo tempo, a avaliação de especificidades dentro da comunidade LGBTQIA+, que tem especificidades que precisam ser consideradas, como agregação inclusive da dupla discriminação, ou da dupla ausência de políticas públicas, porque um país LGBTfóbico é também um país sexista, um país racista, um país capacitista e um país etarista.",true,Central LDS manifestation checked against the quoted text in an explicitly named speaker turn.,Codex documentary review
d3769de977ace19d,a,113,2,4496,4617,"O País necessita de recursos financeiros, precisa organizar fontes de recursos específicas para a prevenção de desastres.",true,Central LDS manifestation checked against the quoted text in an explicitly named speaker turn.,Codex documentary review
d3769de977ace19d,b,107,1,111867,112026,"Eu trabalhei fortemente pelo financiamento, para colocar recursos no Fundo de Calamidade Pública, que foi criado em 1969, mas nunca foi abastecido de recursos.",true,Central LDS manifestation checked against the quoted text in an explicitly named speaker turn.,Codex documentary review
36fb1e1240a12ac4,a,139,1,11635,11947,"Eu já gostaria de colocar aqui, como encaminhamento desta audiência do dia de hoje, o nosso mandato à disposição, juntamente com a senhora e os demais que compõem a Mesa, para pensar numa legislação específica do sistema prisional carcerário para as questões indígenas a partir de uma consulta pública inclusive.",true,Central LDS manifestation checked against the quoted text in an explicitly named speaker turn.,Codex documentary review
36fb1e1240a12ac4,b,136,1,41911,42135,"A PNGATI deve estar articulada com a política de educação escolar indígena e de atendimento à saúde indígena, fortalecendo os princípios da sustentabilidade, com recurso orçamentário compatível à necessidade das comunidades.",true,Central LDS manifestation checked against the quoted text in an explicitly named speaker turn.,Codex documentary review
36e4b11ff6345a11,a,199,1,66930,67103,"No entanto, eu destacaria, primeiro, que o Ministério, em poucos meses, conseguiu reconquistar a autoridade técnica e política da Direção Nacional do Sistema Único de Saúde.",true,Central LDS manifestation checked against the quoted text in an explicitly named speaker turn.,Codex documentary review
36e4b11ff6345a11,b,16,3,196317,196650,"Ministro, inicialmente, quero parabenizá-lo pela brilhante atuação à frente do Ministério dos Direitos Humanos, área que teve uma destruição sem precedentes no Governo anterior, porque não foram só os direitos previdenciários e trabalhistas, mas os direitos mais essenciais: direitos humanos, direitos sociais, direitos democráticos.",true,Central LDS manifestation checked against the quoted text in an explicitly named speaker turn.,Codex documentary review
3d382d16e23d6fe6,a,188,3,10114,10397,"Novamente, nós observamos que, apesar de a média nacional da participação de docentes mulheres, na pós-graduação, ser em torno de 42%, contra 58% dos homens, nós temos uma participação feminina menor naqueles níveis de formação de pós-graduação de doutorado acadêmico e profissional.",true,Central LDS manifestation checked against the quoted text in an explicitly named speaker turn.,Codex documentary review
3d382d16e23d6fe6,b,168,1,23360,23668,"Foram mais de 4 mil e 500 programas de pós-graduação; quase 7 mil cursos — esse número vai subir, porque cerca de 300 cursos devem entrar no sistema no próximo ano, divididos entre mestrados, doutorados, acadêmicos e profissionais —; quase 113 mil ingressantes; e aproximadamente 80 mil titulados no período.",true,Central LDS manifestation checked against the quoted text in an explicitly named speaker turn.,Codex documentary review
9b028d8dc263fd18,a,197,1,67371,67549,"Também é preciso prover segurança jurídica para a concessão de bolsas aos preceptores de residências médicas e profissionais bolsistas de projetos de ensino, pesquisa e extensão.",unknown,Autonomy for public ICTs is spoken; the specific PLS 226/16 number is absent from the attributed speech.,Codex documentary review
9b028d8dc263fd18,b,184,1,42541,42637,Estamos falando do único instrumento fiscal que o Brasil tem para apoiar as empresas a inovarem.,false,No mention of carrying surplus research funds to later years occurs in the attributed speech or whole supplied transcript.,Codex documentary review
de54c782d361768c,a,203,1,50603,50756,"Mas, na minha visão, se começamos a quebrar o ciclo da violência com a independência econômica dessa mulher, nós já estaremos contribuindo objetivamente.",true,Central LDS manifestation checked against the quoted text in an explicitly named speaker turn.,Codex documentary review
de54c782d361768c,b,154,1,1446,1614,"É necessário debater a promoção da saúde da mulher para esse ciclo da vida, buscando criar políticas públicas efetivas que melhorem a qualidade de vida dessas mulheres.",true,Central LDS manifestation checked against the quoted text in an explicitly named speaker turn.,Codex documentary review
ffe531755c6def2e,a,112,1,24600,24651,"Então, nós queremos a rejeição total desse projeto.",true,Central LDS manifestation checked against the quoted text in an explicitly named speaker turn.,Codex documentary review
ffe531755c6def2e,b,87,manual_range,42494,42627,é totalmente contrário ao projeto da forma como ele foi apresentado. Temos uma rejeição de mais de 98% dos motoristas a este projeto.,true,Central LDS manifestation checked against the quoted text in an explicitly named speaker turn.,Codex documentary review
4cffd4e8a3906c01,a,17,2,77417,77535,"Quem tem competência e quem deve exprimir a voz da população, os anseios do povo, da sociedade, é o Poder Legislativo.",true,Central LDS manifestation checked against the quoted text in an explicitly named speaker turn.,Codex documentary review
4cffd4e8a3906c01,b,104,1,121773,121965,"Elas não obedecem às normas, não obedecem à lei, não obedecem às resoluções da ANEEL e estão criando uma dificuldade imensa para um segmento que tem uma capilaridade gigantesca em todo o País.",true,Central LDS manifestation checked against the quoted text in an explicitly named speaker turn.,Codex documentary review
e001ebac1d8033f1,a,118,1,52895,53061,"Eu acho que temos que criar um sistema nacional de apoio a vítimas de desastres, um arcabouço que faça parte inclusive do Sistema Nacional de Proteção e Defesa Civil.",true,Central LDS manifestation checked against the quoted text in an explicitly named speaker turn.,Codex documentary review
e001ebac1d8033f1,b,113,2,2646,2884,"O nosso grande desafio, o meu e especialmente o do Deputado Gilson, que está liderando nossa equipe na questão do relatório, é criar um arcabouço legal que possa dar proteção, especialmente aos vulneráveis, nessas enchentes, nessas secas.",true,Central LDS manifestation checked against the quoted text in an explicitly named speaker turn.,Codex documentary review
d336204af6200b5c,a,68,1,7102,7377,"Eu queria sensibilizar o Ministério da Saúde no sentido de conseguirmos fazer esse tipo de coisa, como podemos encaminhá-las, porque a pessoa com diabetes tem que, no mínimo, uma vez ao ano, fazer um exame adequado nos olhos e constatar como ela está com relação ao diabetes.",true,Central LDS manifestation checked against the quoted text in an explicitly named speaker turn.,Codex documentary review
d336204af6200b5c,b,105,1,9937,10056,"Os gastos hoje com diabetes superam 43 milhões de dólares ao ano, e 60% desses gastos são com complicações do diabetes.",false,Material numerical conflict: LDS summary says 43 billion dollars; attributed transcript says 43 million dollars.,Codex documentary review
e6a308550846aa5f,a,134,1,73626,73863,"Nesta Casa, nós temos a obrigação de elaborar um marco regulatório que seja factível, bom, interessante para todo o País, essa é a nossa dificuldade, igualmente olhando e acompanhando as experiências que estão sendo feitas nas academias.",true,Central LDS manifestation checked against the quoted text in an explicitly named speaker turn.,Codex documentary review
e6a308550846aa5f,b,23,1,86228,86512,"Pois bem, nós temos que avançar nesse combustível para termos a tranquilidade de saber que vamos abranger todos os segmentos da economia do mundo, para que possamos descarbonizar, tirar o carbono, principalmente o gás carbônico, da atmosfera, caso contrário, o mundo não vai suportar.",true,Central LDS manifestation checked against the quoted text in an explicitly named speaker turn.,Codex documentary review
